channel,row_events,weighted_events,bookings,booking_value_proxy_total,booking_row_rate,share_bookings
0,4685148,7076145,341358,399401,0.07285959803190849,0.11375987314913341
1,3819226,5833304,262254,307527,0.06866679269569279,0.0873979276092924
2,2966283,4307674,179186,199376,0.060407587543063156,0.0597149521326602
3,1676483,2521729,94924,103333,0.05662091413989882,0.03163406804237293
4,823004,1297358,110461,133086,0.13421684463258987,0.0368118788718191
5,2326042,3347879,218624,232457,0.09398970439914671,0.07285793362791013
6,60827,96361,2886,4129,0.04744603547766617,0.0009617791113974158
7,313189,470711,12463,14998,0.03979386249197769,0.004153379440521827
8,112265,169958,9315,10792,0.0829733220505055,0.003104287048741139
9,20880654,30746872,1768782,2005084,0.08470912836350815,0.5894586210033762
10,6203,10470,436,694,0.07028857004675157,0.00014529996277521596
