mart,rows,column,dtype,null_count,null_share,nunique,grain_key
mart_booking_frequency,5,booking_count_bucket,object,0,0.0,5,True
mart_booking_frequency,5,booking_count_bucket_order,int64,0,0.0,5,False
mart_booking_frequency,5,users,int64,0,0.0,5,False
mart_booking_frequency,5,user_share,float64,0,0.0,5,False
mart_booking_frequency,5,avg_sessions,float64,0,0.0,5,False
mart_booking_frequency,5,avg_active_months,float64,0,0.0,5,False
mart_booking_frequency,5,avg_booking_value_proxy,float64,0,0.0,5,False
mart_booking_frequency,5,avg_package_booking_share,float64,1,0.2,4,False
mart_booking_frequency_exact,101,bookings,int64,0,0.0,101,True
mart_booking_frequency_exact,101,users,int64,0,0.0,85,False
mart_booking_frequency_exact,101,user_share,float64,0,0.0,85,False
mart_channel_platform,11720,year_month,object,0,0.0,24,True
mart_channel_platform,11720,channel,int64,0,0.0,11,True
mart_channel_platform,11720,platform_id,int64,0,0.0,45,True
mart_channel_platform,11720,is_mobile,int64,0,0.0,2,True
mart_channel_platform,11720,active_users,int64,0,0.0,1512,False
mart_channel_platform,11720,row_events,int64,0,0.0,2956,False
mart_channel_platform,11720,weighted_events,int64,0,0.0,3437,False
mart_channel_platform,11720,bookings,int64,0,0.0,1071,False
mart_channel_platform,11720,booking_row_rate,float64,0,0.0,4886,False
mart_channel_platform,11720,booking_weighted_event_rate,float64,0,0.0,5319,False
mart_channel_platform,11720,booking_value_proxy_total,int64,0,0.0,1130,False
mart_channel_platform,11720,booking_value_proxy_per_active_user,float64,0,0.0,3897,False
mart_channel_platform,11720,package_booking_share,float64,2601,0.2219283276450512,2354,False
mart_channel_platform,11720,avg_valid_lead_days,float64,5,0.0004266211604095563,9996,False
mart_channel_platform,11720,avg_valid_stay_nights,float64,6,0.0005119453924914676,7829,False
mart_data_quality_daily,724,date_key,object,0,0.0,724,True
mart_data_quality_daily,724,rows,int64,0,0.0,719,False
mart_data_quality_daily,724,weighted_events,int64,0,0.0,719,False
mart_data_quality_daily,724,missing_distance_share,float64,0,0.0,724,False
mart_data_quality_daily,724,imputed_distance_share,float64,0,0.0,724,False
mart_data_quality_daily,724,invalid_lead_time_share,float64,0,0.0,724,False
mart_data_quality_daily,724,invalid_stay_share,float64,0,0.0,724,False
mart_data_quality_daily,724,zero_party_share,float64,0,0.0,724,False
mart_data_quality_daily,724,quality_issue_share,float64,0,0.0,724,False
mart_destination_performance,502728,year_month,object,0,0.0,24,True
mart_destination_performance,502728,destination_id,int64,0,0.0,59455,True
mart_destination_performance,502728,hotel_market_id,int64,0,0.0,2210,True
mart_destination_performance,502728,active_users,int64,0,0.0,1995,False
mart_destination_performance,502728,row_events,int64,0,0.0,4225,False
mart_destination_performance,502728,weighted_events,int64,0,0.0,5151,False
mart_destination_performance,502728,bookings,int64,0,0.0,887,False
mart_destination_performance,502728,bookers,int64,0,0.0,818,False
mart_destination_performance,502728,booking_row_rate,float64,0,0.0,16421,False
mart_destination_performance,502728,booking_weighted_event_rate,float64,0,0.0,18947,False
mart_destination_performance,502728,package_booking_share,float64,235665,0.46877237790614407,4054,False
mart_destination_performance,502728,booking_value_proxy_total,int64,0,0.0,1008,False
mart_destination_performance,502728,avg_distance_filled,float64,77355,0.1538704826466797,409367,False
mart_destination_performance,502728,avg_valid_lead_days,float64,1166,0.002319345650132875,91198,False
mart_destination_performance,502728,avg_valid_stay_nights,float64,1505,0.0029936665552744227,40418,False
mart_destination_performance,502728,meets_min_volume_flag,bool,0,0.0,2,False
mart_destination_performance,502728,meets_booking_min_volume_flag,bool,0,0.0,2,False
mart_distance_quality,49,imputation_level,object,0,0.0,7,True
mart_distance_quality,49,min_support,int64,0,0.0,7,True
mart_distance_quality,49,holdout_rows,int64,0,0.0,1,False
mart_distance_quality,49,covered_rows,int64,0,0.0,49,False
mart_distance_quality,49,coverage_pct,float64,0,0.0,49,False
mart_distance_quality,49,mae,float64,0,0.0,49,False
mart_distance_quality,49,median_absolute_error,float64,0,0.0,49,False
mart_distance_quality,49,p90_absolute_error,float64,0,0.0,49,False
mart_distance_quality,49,average_support,float64,0,0.0,49,False
mart_origin_destination,151998,year_month,object,0,0.0,24,True
mart_origin_destination,151998,user_country,int64,0,0.0,237,True
mart_origin_destination,151998,hotel_country,int64,0,0.0,213,True
mart_origin_destination,151998,active_users,int64,0,0.0,1469,False
mart_origin_destination,151998,row_events,int64,0,0.0,3476,False
mart_origin_destination,151998,weighted_events,int64,0,0.0,4237,False
mart_origin_destination,151998,bookings,int64,0,0.0,859,False
mart_origin_destination,151998,booking_row_rate,float64,0,0.0,9932,False
mart_origin_destination,151998,booking_value_proxy_total,int64,0,0.0,932,False
mart_origin_destination,151998,avg_distance_filled,float64,98455,0.6477387860366584,46444,False
mart_origin_destination,151998,package_booking_share,float64,66780,0.4393478861563968,3011,False
mart_origin_destination,151998,avg_valid_stay_nights,float64,259,0.001703969789076172,26212,False
mart_origin_destination,151998,avg_valid_lead_days,float64,91,0.0005986920880537902,51396,False
mart_package_profile,72280,year_month,object,0,0.0,24,True
mart_package_profile,72280,is_package,int64,0,0.0,2,True
mart_package_profile,72280,lead_time_bucket,object,0,0.0,5,True
mart_package_profile,72280,stay_length_bucket,object,0,0.0,5,True
mart_package_profile,72280,party_segment,object,0,0.0,4,True
mart_package_profile,72280,channel,int64,0,0.0,11,True
mart_package_profile,72280,is_mobile,int64,0,0.0,2,True
mart_package_profile,72280,users,int64,0,0.0,2686,False
mart_package_profile,72280,events,int64,0,0.0,4920,False
mart_package_profile,72280,weighted_events,int64,0,0.0,6047,False
mart_package_profile,72280,bookings,int64,0,0.0,1277,False
mart_package_profile,72280,weighted_bookings,int64,0,0.0,1304,False
mart_package_profile,72280,booking_row_rate,float64,0,0.0,15332,False
mart_package_profile,72280,booking_weighted_event_rate,float64,0,0.0,17043,False
mart_package_profile,72280,booking_value_proxy_total,int64,0,0.0,1356,False
mart_product_daily,724,date_key,object,0,0.0,724,True
mart_product_daily,724,active_users,int64,0,0.0,703,False
mart_product_daily,724,row_events,int64,0,0.0,719,False
mart_product_daily,724,weighted_events,int64,0,0.0,719,False
mart_product_daily,724,bookings,int64,0,0.0,671,False
mart_product_daily,724,bookers,int64,0,0.0,667,False
mart_product_daily,724,booking_row_rate,float64,0,0.0,724,False
mart_product_daily,724,booking_weighted_event_rate,float64,0,0.0,724,False
mart_product_daily,724,booker_rate,float64,0,0.0,724,False
mart_product_daily,724,booking_value_proxy_total,int64,0,0.0,676,False
mart_product_daily,724,booking_value_proxy_per_active_user,float64,0,0.0,724,False
mart_product_daily,724,avg_booking_value_proxy_per_booking,float64,0,0.0,724,False
mart_product_daily,724,mobile_row_share,float64,0,0.0,724,False
mart_product_daily,724,mobile_booking_share,float64,0,0.0,724,False
mart_product_daily,724,package_booking_share,float64,0,0.0,724,False
mart_product_daily,724,avg_valid_lead_days,float64,0,0.0,724,False
mart_product_daily,724,avg_valid_stay_nights,float64,0,0.0,724,False
mart_product_daily,724,avg_distance_filled,float64,0,0.0,724,False
mart_product_daily,724,distance_imputed_share,float64,0,0.0,724,False
mart_retention_cohort,300,cohort_month,object,0,0.0,24,True
mart_retention_cohort,300,months_since_first_booking,int64,0,0.0,24,True
mart_retention_cohort,300,cohort_users,int64,0,0.0,24,False
mart_retention_cohort,300,returned_bookers,int64,0,0.0,296,False
mart_retention_cohort,300,booking_retention_rate,float64,0,0.0,276,False
mart_retention_cohort,300,bookings,int64,0,0.0,292,False
mart_retention_cohort,300,booking_value_proxy_total,int64,0,0.0,291,False
mart_session_daily,724,date_key,object,0,0.0,724,True
mart_session_daily,724,active_users,int64,0,0.0,700,False
mart_session_daily,724,sessions,int64,0,0.0,707,False
mart_session_daily,724,booking_sessions,int64,0,0.0,672,False
mart_session_daily,724,session_booking_rate,float64,0,0.0,724,False
mart_session_daily,724,sessions_per_user,float64,0,0.0,724,False
mart_session_daily,724,avg_rows_per_session,float64,0,0.0,724,False
mart_session_daily,724,avg_weighted_events_per_session,float64,0,0.0,724,False
mart_session_daily,724,median_session_duration_seconds,float64,0,0.0,137,False
mart_session_daily,724,avg_time_to_first_booking_seconds,float64,0,0.0,724,False
mart_session_daily,724,multi_destination_session_share,float64,0,0.0,724,False
mart_session_daily,724,booking_value_proxy_total,int64,0,0.0,660,False
mart_session_daily,724,booking_value_proxy_per_session,float64,0,0.0,724,False
mart_travel_calendar_daily,6908,date_key,object,0,0.0,6908,True
mart_travel_calendar_daily,6908,full_date,object,0,0.0,6908,False
mart_travel_calendar_daily,6908,year,int64,0,0.0,20,False
mart_travel_calendar_daily,6908,month,int64,0,0.0,12,False
mart_travel_calendar_daily,6908,year_month,object,0,0.0,228,False
mart_travel_calendar_daily,6908,events_on_date,int64,0,0.0,720,False
mart_travel_calendar_daily,6908,weighted_events_on_date,int64,0,0.0,720,False
mart_travel_calendar_daily,6908,bookings_made_on_date,int64,0,0.0,672,False
mart_travel_calendar_daily,6908,checkins_on_date,int64,0,0.0,956,False
mart_travel_calendar_daily,6908,checkouts_on_date,int64,0,0.0,959,False
mart_travel_calendar_daily,6908,booking_value_proxy_for_checkins,int64,0,0.0,949,False
mart_travel_calendar_daily,6908,package_checkins,int64,0,0.0,560,False
mart_travel_calendar_daily,6908,avg_stay_nights_for_checkins,float64,5762,0.8341053850607991,1075,False
mart_travel_calendar_daily,6908,avg_lead_days_for_checkins,float64,5764,0.8343949044585988,1129,False
mart_trip_profile,2399,year_month,object,0,0.0,24,True
mart_trip_profile,2399,lead_time_bucket,object,0,0.0,5,True
mart_trip_profile,2399,stay_length_bucket,object,0,0.0,5,True
mart_trip_profile,2399,party_segment,object,0,0.0,4,True
mart_trip_profile,2399,users,int64,0,0.0,1897,False
mart_trip_profile,2399,events,int64,0,0.0,2158,False
mart_trip_profile,2399,weighted_events,int64,0,0.0,2241,False
mart_trip_profile,2399,bookings,int64,0,0.0,1356,False
mart_trip_profile,2399,booking_row_rate,float64,0,0.0,2269,False
mart_trip_profile,2399,booking_weighted_event_rate,float64,0,0.0,2296,False
mart_trip_profile,2399,package_share,float64,40,0.016673614005835766,1813,False
mart_trip_profile,2399,mobile_share,float64,0,0.0,2312,False
mart_trip_profile,2399,booking_value_proxy_total,int64,0,0.0,1423,False
mart_trip_profile,2399,sessions,int64,0,0.0,1970,False
mart_trip_profile,2399,booking_sessions,int64,0,0.0,1433,False
