months_since_first_booking,cohort_users,returned_bookers,bookings,weighted_retention
0,813985,813985,1084639,1.0
1,777904,107594,174329,0.13831269668236698
2,742268,87486,138254,0.11786308988128277
3,704207,79087,124136,0.11230646670652238
4,664727,73332,115050,0.11031897305209507
5,621900,69027,107738,0.11099372889532079
6,577908,64789,101536,0.11210953992677035
7,541147,60874,94888,0.11249069106915496
8,506835,57403,89326,0.11325776633421133
9,473003,54407,85376,0.11502464043568435
10,438499,51845,80454,0.11823288080474528
11,413968,53094,83438,0.12825629034128241
12,387825,56876,92332,0.14665377425385162
13,367879,52398,84592,0.14243270205692632
14,347959,49802,81204,0.1431260579551039
15,323577,46506,76072,0.1437246775883329
16,298147,43978,71781,0.1475044189611165
17,268690,40778,67263,0.15176597565968217
18,237090,37455,62359,0.15797798304441352
19,205113,33162,55620,0.16167673428792909
20,171137,28381,48565,0.16583789595470297
21,135369,22896,39507,0.16913769031314407
22,91987,15824,26908,0.17202430778262146
23,48648,8798,15322,0.18085018911363263
