destination_id,row_events,bookings,bookers,value,booking_row_rate
8250,1331889,97637,84723,137570,0.07330715998104947
8267,1004593,57635,51551,76954,0.05737149273387332
8279,409160,30084,26828,35965,0.07352624890018575
8253,497633,28285,24897,35812,0.056839076186667684
8745,492837,25612,22731,31564,0.05196850074162451
12206,338589,23258,20761,27749,0.06869094979458872
8268,528995,23168,20965,30526,0.04379625516309228
8230,248414,21755,19830,27992,0.087575579476197
8254,299402,18977,16905,23042,0.06338301013353284
8791,619501,18342,16677,32429,0.02960770039112124
8260,344874,18273,16370,24113,0.0529845682771099
8291,216930,17568,16053,21568,0.08098464942608215
7635,274409,16664,14639,18130,0.060726871203203976
8278,283549,16649,15066,19788,0.0587164828653954
8223,187993,16345,14886,19045,0.08694472666535456
8746,283600,16219,14452,20979,0.05718970380818054
8788,262173,15495,14026,20424,0.0591021958782941
8220,270086,15245,12870,18528,0.05644498419022089
8242,226402,14534,12310,16894,0.06419554597574226
8819,215121,13643,11553,15564,0.06342012169895082
468,243240,12891,10978,16256,0.05299703996053281
8281,146211,12172,11001,14884,0.0832495503074324
8213,156999,11212,10164,14415,0.07141446760807393
8747,194969,11140,9023,12835,0.05713728849201668
11353,183746,11027,9812,13414,0.06001219074156716
8288,121838,10956,9847,13051,0.08992268422002987
8739,131959,10640,9710,14666,0.080631105115983
8282,186121,10590,8916,13085,0.05689846927536388
26022,105757,10358,9323,10629,0.0979415074179487
8266,154482,10165,9371,13633,0.06580054634196865
12175,180273,10049,9003,10981,0.055743233873070286
8287,98764,9998,9193,12429,0.10123121785265886
669,214942,9778,8373,12181,0.045491341850359635
12603,71245,9753,8669,9869,0.13689381710997264
11439,367288,9397,8659,17170,0.025584827165603015
8822,171011,9263,7890,11761,0.05416610627386542
8255,110375,9136,7943,11244,0.08277236693091733
8785,154855,8985,8286,10499,0.05802202059991605
12233,157473,8726,7991,9435,0.055412673918703526
8216,83019,8634,7849,11033,0.10400028909044917
8273,84694,8619,7822,9669,0.10176635889201124
8818,91925,8371,6908,9280,0.09106336687516997
8245,142591,8021,7080,10520,0.056251797097993564
8262,89401,7772,7124,9273,0.08693415062471337
8272,103793,7552,6936,9967,0.07276020540884261
8259,64221,7438,6229,8911,0.1158188131608041
8243,60518,7309,6462,8889,0.12077398459962325
8236,66328,7236,6548,9047,0.10909419852852491
8277,84094,7208,6515,8321,0.08571360620258282
14875,106631,7187,6590,7323,0.06740066209638848
